Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
292,190,3,55.0,5687,2,3.0,5,3,4,5,3,7,7,7,4,5,5,6,1912,2000,5,7,3,3,2.0,0.0,3,2,4,4.0,3.0,2.0,4.0,210,2.0,0,570,780,5,5,2,5.0,780,0,1716,1,0,2,0,6,1,2,8,0,0.0,0.0,0.0,0.0,0,0,1,0,184,0,0,0,0,0.0,0.0,0.0,0,3,2008,10,6,135900
293,50,3,60.0,11409,2,0.0,5,4,4,5,3,18,7,7,5,7,5,4,1949,2008,5,7,2,2,2.0,0.0,3,3,5,4.0,4.0,2.0,3.0,292,2.0,0,476,768,5,4,1,5.0,568,0,1716,0,0,1,1,3,1,3,6,1,5.0,6.0,1949.0,2.0,1,281,3,0,0,0,0,160,0,0.0,0.0,0.0,0,1,2009,10,6,131000
294,60,3,0.0,16659,2,0.0,4,4,4,4,3,9,3,7,5,5,7,7,1977,1994,5,7,7,7,4.0,34.0,3,3,5,4.0,4.0,2.0,6.0,795,2.0,0,0,795,5,2,1,5.0,795,0,2263,1,0,2,1,3,1,4,8,1,4.0,6.0,1977.0,4.0,2,539,3,0,250,0,0,0,0,0.0,0.0,0.0,0,3,2006,10,6,235000
295,20,3,80.0,9600,2,0.0,5,4,4,5,3,13,7,7,5,8,6,5,1953,1953,3,7,11,11,1.0,238.0,3,3,5,4.0,4.0,2.0,7.0,1285,2.0,0,131,1416,5,3,1,5.0,0,0,1644,1,0,1,0,3,1,3,8,2,5.0,6.0,1953.0,4.0,2,418,3,110,0,0,0,0,0,0.0,0.0,0.0,0,10,2009,10,6,167000
296,80,3,37.0,7937,2,0.0,4,4,4,3,3,14,7,7,5,1,6,6,1984,1984,5,7,11,11,2.0,0.0,3,3,5,4.0,4.0,4.0,7.0,819,2.0,0,184,1003,5,3,1,5.0,0,0,1003,1,0,1,0,3,1,3,8,0,0.0,2.0,1984.0,2.0,2,588,3,120,0,0,0,0,0,0.0,5.0,0.0,0,3,2006,10,6,142500
297,50,1,75.0,13710,2,0.0,5,4,4,5,3,16,7,7,5,7,5,5,1950,1950,5,7,2,2,2.0,0.0,3,3,5,4.0,4.0,2.0,5.0,420,2.0,0,490,910,5,3,1,4.0,648,0,1558,0,0,1,1,4,1,3,8,0,0.0,6.0,1950.0,2.0,1,282,3,289,0,0,0,0,0,0.0,4.0,0.0,0,6,2007,10,6,152000
298,60,6,66.0,7399,2,2.0,4,4,4,5,3,4,7,7,5,5,7,5,1997,1998,3,7,3,3,4.0,1600.0,4,3,4,5.0,4.0,2.0,5.0,649,2.0,0,326,975,5,5,1,5.0,975,0,1950,0,0,2,1,3,1,4,8,1,4.0,2.0,1997.0,3.0,2,576,3,0,10,0,0,198,0,0.0,0.0,0.0,0,6,2007,10,6,239000
299,60,3,90.0,11700,2,0.0,5,4,4,5,3,9,7,7,5,5,6,6,1968,1968,2,7,11,16,4.0,365.0,4,3,5,4.0,4.0,2.0,6.0,384,4.0,175,143,702,5,4,1,5.0,702,0,1743,0,1,1,2,3,1,3,8,1,5.0,6.0,1968.0,2.0,2,539,3,224,0,0,0,0,0,0.0,0.0,0.0,0,6,2007,10,6,175000
300,20,3,80.0,14000,2,0.0,5,4,4,5,3,19,7,7,5,8,6,8,1950,2004,5,7,11,11,2.0,0.0,3,4,5,4.0,4.0,2.0,2.0,0,2.0,0,1092,1092,5,5,1,5.0,0,0,1152,0,1,1,0,3,1,4,8,1,5.0,6.0,1950.0,2.0,1,300,3,0,36,0,0,0,0,0.0,5.0,0.0,0,8,2009,10,2,158500
301,190,3,90.0,15750,2,0.0,5,4,4,4,3,19,7,7,4,8,5,5,1953,1953,3,7,9,9,4.0,56.0,3,3,5,4.0,4.0,3.0,5.0,841,2.0,0,324,1165,5,3,1,5.0,0,0,1336,1,0,1,0,2,1,3,8,2,5.0,6.0,1953.0,2.0,1,375,3,0,0,0,0,0,0,0.0,0.0,0.0,0,6,2006,10,6,157000
302,60,3,66.0,16226,2,0.0,2,4,4,5,3,20,7,7,5,5,8,5,1998,1999,5,7,3,3,2.0,0.0,4,3,4,5.0,4.0,2.0,7.0,281,2.0,0,747,1028,5,5,1,5.0,1242,0,2452,0,0,2,1,4,1,4,8,1,4.0,4.0,1998.0,4.0,2,683,3,208,50,0,0,0,0,0.0,0.0,0.0,0,5,2007,10,6,267000
303,20,3,118.0,13704,2,0.0,4,4,4,4,3,20,7,7,5,8,7,5,2001,2002,5,7,3,3,4.0,150.0,4,3,4,5.0,4.0,2.0,2.0,0,2.0,0,1541,1541,5,5,1,5.0,0,0,1541,0,0,2,0,3,1,4,8,1,4.0,6.0,2001.0,3.0,3,843,3,468,81,0,0,0,0,0.0,0.0,0.0,0,1,2006,10,6,205000
304,20,3,70.0,9800,2,0.0,5,4,4,4,3,20,7,7,5,8,5,7,1972,1972,5,7,3,3,2.0,0.0,3,3,4,4.0,4.0,2.0,6.0,894,2.0,0,0,894,5,3,1,5.0,0,0,894,1,0,1,0,3,1,3,8,0,0.0,6.0,1975.0,2.0,2,552,3,256,0,0,0,0,0,0.0,3.0,0.0,0,7,2006,10,5,149900
305,75,1,87.0,18386,2,0.0,5,4,4,5,3,8,7,7,5,4,7,9,1880,2002,5,7,12,12,2.0,0.0,3,3,6,4.0,4.0,2.0,2.0,0,2.0,0,1470,1470,5,5,1,5.0,1818,0,3493,0,0,3,0,3,1,4,8,1,6.0,6.0,2003.0,2.0,3,870,3,302,0,0,0,0,0,0.0,0.0,0.0,0,5,2008,10,6,295000
306,20,3,80.0,10386,2,0.0,5,4,4,5,3,20,7,7,5,8,8,5,2004,2005,5,7,12,12,1.0,246.0,4,3,4,5.0,4.0,2.0,7.0,1464,2.0,0,536,2000,5,5,1,5.0,0,0,2000,1,0,2,0,3,1,4,8,0,0.0,6.0,2004.0,4.0,3,888,3,168,0,0,0,0,0,0.0,0.0,0.0,0,7,2007,10,6,305900
307,60,3,116.0,13474,2,0.0,5,4,4,5,3,5,8,7,5,5,7,5,1990,1991,5,7,11,7,4.0,246.0,4,3,5,5.0,4.0,2.0,6.0,700,2.0,0,0,700,5,4,1,5.0,1121,0,2243,1,0,2,1,4,1,4,8,1,4.0,6.0,1990.0,3.0,3,746,3,127,44,224,0,0,0,0.0,0.0,0.0,0,6,2007,10,6,225000
308,50,1,0.0,7920,2,3.0,4,4,4,5,3,16,9,7,5,7,6,7,1920,1950,5,7,9,9,2.0,0.0,3,2,5,4.0,4.0,2.0,2.0,0,2.0,0,319,319,5,3,1,4.0,371,0,1406,0,0,1,0,3,1,2,8,0,0.0,0.0,0.0,0.0,0,0,1,0,144,0,0,0,0,0.0,4.0,0.0,0,3,2008,10,6,89500
309,30,3,0.0,12342,2,0.0,4,4,4,5,3,18,7,7,5,8,4,5,1940,1950,5,7,3,3,2.0,0.0,3,3,5,4.0,4.0,2.0,5.0,262,2.0,0,599,861,5,5,1,5.0,0,0,861,0,0,1,0,1,1,3,8,0,0.0,2.0,1961.0,2.0,2,539,3,158,0,0,0,0,0,0.0,0.0,0.0,0,3,2009,10,6,82500
310,20,3,90.0,12378,2,0.0,4,4,4,5,3,10,7,7,5,8,9,5,2003,2004,5,7,3,3,2.0,0.0,4,3,4,6.0,4.0,5.0,7.0,1274,2.0,0,622,1896,5,5,1,5.0,0,0,1944,1,0,2,0,3,1,5,8,3,6.0,6.0,2003.0,4.0,3,708,3,208,175,0,0,0,0,0.0,0.0,0.0,0,11,2006,10,6,360000
311,60,3,0.0,7685,2,0.0,4,4,4,5,3,17,7,7,5,5,6,5,1993,1994,5,7,11,11,4.0,112.0,3,3,4,5.0,4.0,2.0,6.0,518,2.0,0,179,697,5,4,1,5.0,804,0,1501,0,0,2,1,3,1,4,8,1,4.0,6.0,1993.0,4.0,2,420,3,190,63,0,0,0,0,0.0,0.0,0.0,0,5,2006,10,6,165600
312,20,3,50.0,8000,2,0.0,5,4,4,5,3,13,7,7,5,8,6,6,1948,2002,5,7,3,3,2.0,0.0,3,4,5,4.0,4.0,2.0,6.0,680,2.0,0,292,972,5,5,1,5.0,0,0,972,1,0,1,0,2,1,3,8,1,5.0,2.0,1948.0,2.0,1,240,3,0,0,0,0,0,0,0.0,0.0,0.0,0,5,2009,10,6,132000
313,190,1,65.0,7800,2,0.0,5,4,4,5,3,8,9,7,4,7,5,7,1939,1950,5,7,9,9,2.0,0.0,3,3,5,5.0,4.0,3.0,4.0,507,2.0,0,286,793,5,3,1,5.0,325,0,1118,1,0,1,0,3,1,3,8,1,5.0,2.0,1939.0,2.0,2,410,3,0,0,0,0,271,0,0.0,4.0,0.0,0,5,2006,10,6,119900
314,20,3,150.0,215245,2,0.0,2,1,4,5,1,2,7,7,5,8,7,5,1965,1965,3,7,14,14,2.0,0.0,3,3,5,5.0,4.0,5.0,6.0,1236,4.0,820,80,2136,4,3,1,5.0,0,0,2036,2,0,2,0,3,1,3,8,2,5.0,6.0,1965.0,3.0,2,513,3,0,0,0,0,0,0,0.0,0.0,0.0,0,6,2009,10,6,375000
315,70,1,60.0,9600,2,3.0,5,4,4,5,3,8,7,7,5,5,7,7,1925,1990,5,7,2,2,2.0,0.0,3,3,6,4.0,5.0,2.0,3.0,16,2.0,0,712,728,5,5,1,5.0,809,0,1641,0,1,1,1,3,1,5,8,1,5.0,2.0,1925.0,2.0,2,546,3,0,0,234,0,0,0,0.0,0.0,0.0,0,8,2006,10,6,178000
316,60,3,71.0,7795,2,0.0,4,4,4,5,3,17,7,7,5,5,7,5,2004,2005,5,7,3,3,2.0,0.0,4,3,4,5.0,4.0,2.0,7.0,425,2.0,0,291,716,5,5,1,5.0,716,0,1432,1,0,2,1,3,1,4,8,1,5.0,6.0,2004.0,4.0,2,432,3,100,51,0,0,0,0,0.0,0.0,0.0,0,7,2009,10,6,188500
317,60,3,94.0,13005,2,0.0,4,4,4,4,3,9,7,7,5,5,7,7,1980,1980,5,7,12,12,4.0,278.0,4,3,5,5.0,4.0,2.0,7.0,692,2.0,0,153,845,5,3,1,5.0,1200,0,2353,1,0,2,1,4,1,5,8,1,4.0,6.0,1983.0,3.0,2,484,3,288,195,0,0,0,0,0.0,5.0,0.0,0,8,2009,10,6,260000
318,60,6,75.0,9000,2,0.0,5,4,4,5,3,4,7,7,5,5,8,5,2006,2006,5,7,3,3,2.0,0.0,4,3,4,5.0,4.0,4.0,2.0,0,2.0,0,1088,1088,5,5,1,5.0,871,0,1959,0,0,2,1,3,1,4,8,1,5.0,6.0,2006.0,3.0,3,1025,3,208,46,0,0,0,0,0.0,0.0,0.0,0,12,2007,10,6,270000
319,60,3,90.0,9900,2,0.0,5,1,4,5,2,12,7,7,5,5,7,5,1993,1993,5,7,11,11,4.0,256.0,4,3,4,5.0,4.0,5.0,7.0,987,2.0,0,360,1347,5,5,1,5.0,1274,0,2646,1,0,2,1,4,1,4,8,1,4.0,6.0,1993.0,3.0,3,656,3,340,60,144,0,0,0,0.0,0.0,0.0,0,4,2009,10,6,260000
320,80,3,0.0,14115,2,0.0,5,4,4,5,3,9,7,7,5,1,7,5,1980,1980,5,7,7,7,4.0,225.0,3,3,5,5.0,4.0,4.0,7.0,1036,2.0,0,336,1372,5,3,1,5.0,0,0,1472,1,0,2,0,3,1,3,8,2,4.0,6.0,1980.0,2.0,2,588,3,233,48,0,0,0,0,0.0,0.0,0.0,0,6,2009,10,6,187500
321,60,3,111.0,16259,2,0.0,5,4,4,4,3,10,7,7,5,5,9,5,2006,2006,5,7,3,3,1.0,370.0,3,3,4,6.0,5.0,4.0,2.0,0,2.0,0,1249,1249,5,5,1,5.0,1347,0,2596,0,0,3,1,4,1,4,8,0,0.0,6.0,2006.0,3.0,3,840,3,240,154,0,0,0,0,0.0,0.0,0.0,0,9,2006,7,1,342643
322,60,3,99.0,12099,2,0.0,4,4,4,5,3,10,7,7,5,5,8,5,2004,2004,5,7,3,3,4.0,388.0,4,3,4,6.0,4.0,4.0,7.0,970,2.0,0,166,1136,5,5,1,5.0,1332,0,2468,1,0,2,1,4,1,4,8,1,5.0,4.0,2004.0,4.0,3,872,3,184,154,0,0,0,0,0.0,0.0,0.0,0,6,2007,10,6,354000
323,60,3,86.0,10380,2,0.0,4,4,4,5,3,5,7,7,5,5,7,5,1986,1987,5,7,7,7,4.0,172.0,4,3,5,4.0,4.0,5.0,3.0,28,6.0,1474,0,1502,5,5,1,5.0,1177,0,2730,1,0,2,1,4,1,4,8,1,4.0,6.0,1987.0,4.0,2,576,3,201,96,0,0,0,0,0.0,4.0,0.0,0,8,2007,10,6,301000
324,20,1,49.0,5820,2,0.0,5,4,4,5,3,8,7,7,5,8,3,8,1955,2005,5,7,3,3,2.0,0.0,3,4,5,4.0,4.0,2.0,6.0,256,2.0,0,906,1162,5,5,1,5.0,0,0,1163,1,0,1,0,3,1,3,8,0,0.0,6.0,1955.0,2.0,1,220,3,142,98,0,0,0,0,0.0,0.0,0.0,0,7,2006,10,6,126175
325,80,3,96.0,11275,2,0.0,5,4,4,4,3,13,4,7,5,1,7,7,1967,2007,2,2,2,2,4.0,300.0,4,4,5,5.0,4.0,2.0,2.0,0,2.0,0,710,710,5,5,1,5.0,1080,0,2978,0,0,2,1,5,1,4,8,1,5.0,4.0,1961.0,4.0,2,564,3,240,0,0,0,0,0,0.0,0.0,0.0,0,6,2010,10,6,242000
326,45,1,50.0,5000,2,0.0,5,4,4,5,3,16,1,7,5,6,5,6,1941,1950,5,7,9,9,2.0,0.0,3,3,5,4.0,4.0,4.0,5.0,116,2.0,0,604,720,5,1,2,3.0,0,0,803,0,0,1,0,2,1,3,8,0,0.0,2.0,1941.0,2.0,2,360,3,0,0,244,0,0,0,0.0,0.0,0.0,0,12,2007,10,6,87000
327,120,3,32.0,10846,2,0.0,4,4,4,3,3,1,7,7,2,8,8,5,1993,1993,5,7,14,14,2.0,0.0,4,3,4,5.0,4.0,5.0,7.0,1619,2.0,0,100,1719,5,5,1,5.0,0,0,1719,2,0,1,1,1,1,4,8,2,5.0,6.0,1993.0,4.0,2,473,3,122,30,0,0,0,0,0.0,0.0,0.0,0,5,2008,5,6,324000
328,20,3,80.0,11600,2,0.0,5,4,4,5,3,13,7,7,5,8,6,5,1960,1960,3,7,2,2,4.0,175.0,3,3,5,4.0,4.0,2.0,4.0,565,2.0,0,818,1383,5,3,1,5.0,0,0,1383,0,0,1,1,3,1,3,8,0,0.0,6.0,1960.0,3.0,1,292,3,0,45,0,0,0,0,0.0,0.0,0.0,0,4,2006,10,6,145250
329,75,3,0.0,11888,2,2.0,4,3,4,5,3,22,4,7,5,3,6,6,1916,1994,5,7,2,1,2.0,0.0,3,3,6,4.0,4.0,2.0,2.0,0,2.0,0,844,844,5,4,2,4.0,689,0,2134,0,0,2,0,5,1,4,8,0,0.0,2.0,1930.0,2.0,2,441,3,0,60,268,0,0,0,0.0,0.0,0.0,0,7,2009,10,6,214500
330,70,1,60.0,6402,2,0.0,5,4,4,4,3,16,7,7,5,5,5,5,1920,1950,5,7,2,1,2.0,0.0,3,3,4,4.0,4.0,3.0,2.0,0,2.0,0,596,596,5,3,2,5.0,596,0,1192,0,0,1,0,3,1,3,8,0,0.0,2.0,1920.0,2.0,1,189,1,0,0,137,0,0,0,0.0,3.0,0.0,0,7,2009,10,6,78000
331,90,3,0.0,10624,2,0.0,4,4,4,5,3,13,7,7,3,8,5,4,1964,1964,5,7,11,11,4.0,84.0,3,3,5,4.0,4.0,2.0,7.0,40,4.0,264,1424,1728,5,3,1,5.0,0,0,1728,0,1,2,0,6,2,3,8,0,0.0,2.0,2002.0,2.0,1,352,3,155,0,0,0,0,0,0.0,0.0,0.0,0,11,2007,10,6,119000
332,20,3,70.0,8176,2,0.0,5,4,4,5,3,13,7,7,5,8,5,6,1958,1992,5,7,2,2,2.0,0.0,3,3,5,4.0,4.0,2.0,4.0,846,2.0,0,210,1056,5,2,1,5.0,0,0,1056,1,0,1,0,3,1,3,8,0,0.0,6.0,1958.0,3.0,1,308,3,0,0,0,0,0,0,0.0,0.0,0.0,0,8,2007,10,6,139000
333,20,3,85.0,10655,2,0.0,4,4,4,5,3,10,7,7,5,8,8,5,2003,2004,5,7,3,3,4.0,296.0,4,3,4,5.0,4.0,2.0,7.0,1124,0.0,479,1603,3206,5,5,1,5.0,0,0,1629,1,0,2,0,3,1,4,8,1,5.0,6.0,2003.0,3.0,3,880,3,0,0,0,0,0,0,0.0,0.0,0.0,0,10,2009,10,6,284000
334,120,1,59.0,8198,2,0.0,5,4,4,1,3,10,7,7,2,8,7,5,2004,2004,5,7,3,3,1.0,146.0,4,3,4,5.0,4.0,4.0,7.0,720,2.0,0,638,1358,5,5,1,5.0,0,0,1358,1,0,2,0,2,1,4,8,1,5.0,6.0,2004.0,3.0,2,484,3,192,30,0,0,0,0,0.0,0.0,0.0,0,7,2008,10,6,207000
335,60,3,59.0,9042,2,0.0,4,4,4,5,3,17,7,7,5,5,6,5,1998,1998,5,7,3,3,2.0,0.0,3,3,4,5.0,4.0,5.0,7.0,828,2.0,0,115,943,5,4,1,5.0,695,0,1638,1,0,2,1,3,1,3,8,2,4.0,6.0,1998.0,4.0,2,472,3,100,38,0,0,0,0,0.0,0.0,0.0,0,7,2008,10,6,192000
336,190,3,0.0,164660,3,0.0,4,2,4,4,1,2,7,7,4,7,5,6,1965,1965,5,7,7,7,2.0,0.0,3,3,5,4.0,4.0,5.0,6.0,1249,5.0,147,103,1499,5,5,1,5.0,167,0,1786,2,0,2,0,3,1,3,8,2,5.0,6.0,1965.0,4.0,2,529,3,670,0,0,0,0,0,0.0,0.0,3.0,700,8,2008,10,6,228950
337,20,3,86.0,14157,2,0.0,4,2,4,4,3,3,7,7,5,8,9,5,2005,2006,3,7,3,3,1.0,200.0,4,3,4,6.0,4.0,5.0,7.0,1249,2.0,0,673,1922,5,5,1,5.0,0,0,1922,1,0,2,0,3,1,4,8,1,5.0,6.0,2005.0,4.0,3,676,3,178,51,0,0,0,0,0.0,0.0,0.0,0,7,2007,10,6,377426
338,20,3,70.0,9135,2,0.0,5,4,4,5,3,20,7,7,5,8,7,5,2002,2003,5,7,3,3,4.0,113.0,4,3,4,5.0,4.0,4.0,7.0,810,2.0,0,726,1536,5,5,1,5.0,0,0,1536,1,0,2,0,3,1,4,8,0,0.0,6.0,2002.0,3.0,2,532,3,192,74,0,0,0,0,0.0,0.0,0.0,0,12,2008,10,6,214000
339,20,3,91.0,14145,2,0.0,5,4,4,4,3,9,7,7,5,8,7,7,1984,1998,5,7,2,2,2.0,0.0,4,3,5,5.0,4.0,3.0,6.0,213,2.0,0,995,1208,5,5,1,5.0,0,0,1621,1,0,2,0,3,1,4,8,0,0.0,6.0,1984.0,3.0,2,440,3,108,45,0,0,0,0,0.0,0.0,3.0,400,5,2006,10,6,202500
340,20,3,66.0,12400,2,0.0,4,4,4,5,3,13,8,7,5,8,6,7,1958,1998,3,7,2,2,4.0,176.0,3,3,5,4.0,3.0,2.0,4.0,585,2.0,0,630,1215,5,3,1,4.0,0,0,1215,0,0,1,0,3,1,3,8,0,0.0,6.0,1958.0,2.0,1,297,3,0,0,0,0,234,0,0.0,0.0,0.0,0,6,2009,10,6,155000
341,60,3,85.0,14191,2,0.0,5,4,4,5,3,2,7,7,5,5,8,5,2002,2002,5,7,3,3,2.0,0.0,4,3,4,5.0,4.0,2.0,2.0,0,2.0,0,967,967,5,5,1,5.0,915,0,1908,0,0,2,1,4,1,4,8,0,0.0,6.0,2002.0,4.0,2,431,3,135,0,0,0,0,0,0.0,0.0,0.0,0,4,2010,10,6,202900
342,20,4,60.0,8400,2,0.0,5,4,4,5,3,5,8,7,5,8,4,4,1950,1950,5,7,2,17,2.0,0.0,2,2,5,4.0,3.0,2.0,2.0,0,2.0,0,721,721,5,4,1,5.0,0,0,841,0,0,1,0,2,1,3,8,0,0.0,3.0,1950.0,2.0,1,294,1,250,0,24,0,0,0,0.0,0.0,0.0,0,9,2009,10,6,82000
343,90,3,0.0,8544,2,0.0,5,4,4,5,3,13,7,7,3,8,3,4,1949,1950,5,7,4,4,4.0,340.0,3,3,3,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,2,2,4.0,0,0,1040,0,0,2,0,2,2,3,8,0,0.0,2.0,1949.0,2.0,2,400,3,0,0,0,0,0,0,0.0,0.0,0.0,0,5,2006,10,6,87500
344,120,3,63.0,8849,2,0.0,4,4,4,5,3,10,7,7,2,8,9,5,2005,2005,3,7,9,9,4.0,616.0,5,3,4,6.0,4.0,2.0,7.0,28,2.0,0,1656,1684,5,5,1,5.0,0,0,1684,0,0,2,0,2,1,5,8,1,6.0,6.0,2005.0,3.0,2,564,3,495,72,0,0,0,0,0.0,0.0,0.0,0,7,2008,10,6,266000
345,160,1,36.0,2592,2,0.0,5,4,4,5,3,15,7,7,2,5,5,3,1976,1976,5,7,12,12,2.0,0.0,3,3,5,5.0,4.0,2.0,4.0,129,5.0,232,175,536,5,3,1,5.0,576,0,1112,0,0,1,1,3,1,3,8,0,0.0,6.0,1976.0,2.0,1,336,3,182,0,0,0,0,0,0.0,0.0,0.0,0,4,2010,10,6,85000
346,50,3,65.0,6435,2,0.0,5,4,4,5,3,22,5,7,5,7,6,5,1939,1950,5,7,9,9,2.0,0.0,3,3,6,4.0,4.0,2.0,2.0,0,2.0,0,972,972,5,4,1,5.0,605,0,1577,0,0,1,0,3,1,2,8,1,5.0,2.0,1939.0,2.0,1,312,3,0,0,0,0,0,0,0.0,0.0,0.0,0,10,2006,10,6,140200
347,20,3,0.0,12772,2,0.0,4,4,4,3,3,13,7,7,5,8,6,8,1960,1998,3,7,9,9,2.0,0.0,3,4,5,4.0,4.0,3.0,5.0,498,2.0,0,460,958,5,3,1,5.0,0,0,958,0,0,1,0,2,1,3,8,0,0.0,6.0,1960.0,3.0,1,301,3,0,0,0,0,0,0,0.0,0.0,5.0,15500,4,2007,10,6,151500
348,20,3,0.0,17600,2,0.0,4,4,4,5,3,13,7,7,5,8,6,5,1960,1960,5,7,2,2,4.0,30.0,3,3,5,4.0,4.0,2.0,5.0,1270,2.0,0,208,1478,5,5,1,4.0,0,0,1478,1,0,2,0,3,1,3,8,2,5.0,6.0,1960.0,2.0,2,498,3,0,40,0,0,0,0,0.0,0.0,0.0,0,12,2009,10,6,157500
349,160,3,36.0,2448,2,0.0,5,4,4,5,3,10,7,7,1,5,7,5,2003,2004,5,7,3,1,1.0,106.0,4,3,4,5.0,4.0,2.0,7.0,573,2.0,0,191,764,5,5,1,5.0,862,0,1626,1,0,2,1,2,1,4,8,0,0.0,4.0,2003.0,3.0,2,474,3,0,27,0,0,0,0,0.0,0.0,0.0,0,10,2008,10,6,154000
350,60,3,56.0,20431,2,0.0,3,4,4,5,3,10,7,7,5,5,9,5,2005,2006,3,7,12,12,4.0,870.0,5,3,4,6.0,4.0,2.0,7.0,1410,2.0,0,438,1848,5,5,1,5.0,880,0,2728,1,0,2,1,4,1,5,8,2,6.0,6.0,2006.0,4.0,3,706,3,0,0,0,0,0,0,0.0,0.0,0.0,0,4,2006,7,1,437154
351,120,3,68.0,7820,2,0.0,4,4,4,5,3,10,7,7,2,8,9,5,2007,2007,3,7,9,9,4.0,362.0,5,3,4,6.0,4.0,2.0,2.0,0,2.0,0,1869,1869,5,5,1,5.0,0,0,1869,0,0,2,0,2,1,5,8,1,5.0,6.0,2007.0,3.0,2,617,3,210,54,0,0,0,0,0.0,0.0,0.0,0,12,2007,7,1,318061
352,120,3,0.0,5271,2,0.0,4,1,4,5,2,21,7,7,5,8,7,5,1986,1986,5,7,2,2,2.0,0.0,3,3,4,5.0,4.0,5.0,7.0,1082,2.0,0,371,1453,5,4,1,5.0,0,0,1453,1,0,1,1,2,1,4,8,1,4.0,6.0,1986.0,3.0,2,445,3,0,80,0,0,184,0,0.0,0.0,0.0,0,12,2006,10,5,190000
353,50,3,60.0,9084,2,0.0,5,4,4,5,3,18,9,7,5,7,5,6,1941,1950,5,7,3,3,2.0,0.0,3,3,5,4.0,3.0,3.0,3.0,236,4.0,380,0,616,5,3,2,5.0,495,0,1111,0,1,1,0,3,1,3,8,0,0.0,2.0,1941.0,2.0,1,200,3,48,0,0,0,0,0,0.0,0.0,0.0,0,3,2008,4,6,95000
354,30,1,60.0,8520,2,0.0,5,4,4,5,3,8,7,7,5,8,6,8,1928,2003,5,7,3,3,2.0,0.0,3,4,6,4.0,4.0,2.0,2.0,0,2.0,0,624,624,5,4,1,5.0,0,0,720,0,0,1,0,2,1,3,8,0,0.0,2.0,2005.0,2.0,2,484,3,106,0,0,0,0,0,0.0,0.0,0.0,0,5,2010,10,6,105900
355,50,3,60.0,8400,2,0.0,5,3,4,5,3,7,7,7,5,7,6,5,1940,2000,5,7,2,9,2.0,0.0,3,3,5,4.0,4.0,2.0,3.0,388,2.0,0,552,940,5,5,1,5.0,403,0,1595,0,0,1,0,2,1,3,8,2,5.0,6.0,1940.0,2.0,1,240,3,0,0,108,0,0,0,0.0,0.0,0.0,0,6,2006,10,6,140000
356,20,3,105.0,11249,2,0.0,3,4,4,5,3,20,7,7,5,8,6,5,1995,1995,5,7,3,3,2.0,0.0,4,4,4,5.0,5.0,2.0,6.0,334,5.0,544,322,1200,5,5,1,5.0,0,0,1200,1,0,2,0,3,1,4,8,0,0.0,6.0,1995.0,3.0,2,521,3,0,26,0,0,0,0,0.0,0.0,0.0,0,8,2007,10,6,177500
357,20,3,0.0,9248,2,0.0,4,4,4,5,3,17,7,7,5,8,6,6,1992,1992,5,7,11,11,4.0,106.0,3,3,4,5.0,4.0,2.0,7.0,560,2.0,0,598,1158,5,4,1,5.0,0,0,1167,1,0,2,0,3,1,4,8,0,0.0,6.0,1992.0,3.0,2,400,3,120,26,0,0,0,0,0.0,0.0,0.0,0,7,2009,10,6,173000
358,120,1,44.0,4224,2,0.0,5,4,4,5,3,15,7,7,2,8,5,5,1976,1976,5,7,12,12,2.0,0.0,3,3,4,5.0,4.0,2.0,6.0,874,2.0,0,268,1142,5,3,1,5.0,0,0,1142,1,0,1,1,3,1,3,8,1,2.0,6.0,1976.0,4.0,2,528,3,536,90,0,0,0,0,0.0,4.0,0.0,0,8,2007,10,6,134000
359,80,3,92.0,6930,2,0.0,4,4,4,5,3,21,7,7,5,1,5,4,1958,1958,3,7,2,10,4.0,120.0,3,3,5,4.0,4.0,4.0,5.0,300,4.0,294,468,1062,5,5,1,3.0,0,0,1352,0,1,1,0,3,1,4,6,0,0.0,4.0,1958.0,2.0,1,288,3,168,0,294,0,0,0,0.0,0.0,0.0,0,7,2006,10,5,130000
