,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
257,258,20,3,68.0,8814,2,,5,4,4,5,3,20,7,7,5,8,7,5,2006,2006,5,7,3,3,1.0,180.0,4,3,4,5.0,4.0,2.0,7.0,1334,2.0,0,270,1604,5,5,1,5.0,1604,0,0,1604,1,0,2,1,3,1,4,8,8,1,5.0,6.0,2006.0,3.0,2,660,4.0,4.0,3,123,110,0,0,0,0,,,,0,3,2009,10,5,220000
258,259,60,3,80.0,12435,2,,5,4,4,5,3,20,7,7,5,5,7,5,2001,2001,5,7,3,3,4.0,172.0,4,3,4,5.0,4.0,2.0,7.0,361,2.0,0,602,963,5,5,1,5.0,963,829,0,1792,0,0,2,1,3,1,4,7,8,1,4.0,6.0,2001.0,3.0,2,564,4.0,4.0,3,0,96,0,245,0,0,,,,0,5,2008,10,6,231500
259,260,20,1,70.0,12702,2,,5,4,4,5,3,8,7,7,5,8,5,5,1956,1956,5,7,14,14,2.0,0.0,3,3,4,,,,,0,,0,0,0,5,4,1,4.0,882,0,0,882,0,0,1,0,2,1,3,4,8,0,,2.0,1956.0,2.0,1,308,4.0,4.0,3,0,45,0,0,0,0,,,,0,12,2008,10,6,97000
260,261,80,3,120.0,19296,2,,5,4,4,4,3,NAmes,9,7,5,1,6,5,1962,1962,5,7,2,2,4.0,399.0,3,3,5,4.0,4.0,5.0,4.0,672,6.0,690,0,1362,5,3,1,5.0,1382,0,0,1382,1,0,1,0,3,1,3,6,8,1,4.0,6.0,1991.0,2.0,2,884,4.0,4.0,3,0,0,252,0,0,0,,3.0,,0,5,2009,10,6,176000
261,262,60,3,69.0,9588,2,,4,4,4,5,3,20,7,7,5,5,8,5,2007,2007,5,7,12,CmentBd,1.0,270.0,4,3,4,6.0,4.0,2.0,2.0,0,2.0,0,1482,1482,5,5,1,5.0,1482,1092,0,2574,0,0,2,1,3,1,5,10,8,1,5.0,4.0,2007.0,4.0,3,868,4.0,4.0,3,0,148,0,0,0,0,,,,0,11,2007,7,1,276000
262,263,80,3,88.0,8471,2,,4,4,4,4,3,6,7,7,5,1,6,7,1977,1995,5,7,11,7,4.0,46.0,3,3,5,5.0,5.0,4.0,6.0,506,2.0,0,0,506,5,3,1,5.0,1212,0,0,1212,1,0,1,0,3,1,3,6,8,1,4.0,6.0,1978.0,2.0,2,492,4.0,4.0,3,292,12,0,0,0,0,,3.0,,0,7,2006,10,6,151000
263,264,50,1,50.0,5500,2,,5,4,4,4,3,8,7,7,5,7,5,7,1929,2001,5,7,2,2,2.0,0.0,3,3,6,4.0,4.0,2.0,3.0,234,6.0,692,0,926,5,3,1,5.0,926,0,390,1316,1,0,1,0,3,1,3,6,8,0,,2.0,1974.0,2.0,2,484,4.0,4.0,3,0,0,0,0,0,0,,,,0,4,2010,10,6,130000
264,265,30,1,30.0,5232,2,3.0,2,3,4,5,3,8,9,7,5,8,5,5,1925,2004,5,7,2,2,2.0,0.0,3,3,6,3.0,4.0,2.0,2.0,0,2.0,0,680,680,5,4,2,2.0,764,0,0,764,0,0,1,0,2,1,3,4,8,0,,2.0,1965.0,2.0,2,504,4.0,4.0,1,0,0,0,0,0,0,,,,0,6,2008,10,6,73000
265,266,20,3,78.0,12090,2,,4,4,4,5,3,9,7,7,5,8,6,6,1981,1981,5,7,9,9,4.0,210.0,3,4,5,5.0,4.0,2.0,7.0,588,3.0,228,606,1422,5,3,1,5.0,1422,0,0,1422,0,0,2,0,3,1,4,7,8,1,4.0,6.0,1981.0,4.0,2,576,4.0,4.0,3,276,0,0,0,0,0,,5.0,,0,6,2008,10,6,175500
266,267,60,3,70.0,11207,2,,4,2,4,2,3,17,7,7,5,5,6,5,1997,1997,5,7,3,3,2.0,0.0,3,3,4,5.0,4.0,4.0,7.0,714,2.0,0,88,802,5,4,1,5.0,802,709,0,1511,1,0,2,1,3,1,3,8,8,1,4.0,6.0,1997.0,4.0,2,413,4.0,4.0,3,95,75,0,0,0,0,,,,0,6,2006,10,6,185000
267,268,75,3,60.0,8400,2,,5,3,4,5,2,7,7,7,5,4,5,8,1939,1997,5,7,2,2,2.0,0.0,3,3,4,4.0,4.0,2.0,3.0,378,2.0,0,342,720,5,5,1,5.0,1052,720,420,2192,0,0,2,1,4,1,4,8,8,1,5.0,2.0,1939.0,2.0,1,240,4.0,4.0,3,262,24,0,0,0,0,,,,0,7,2008,10,6,179500
268,269,30,1,71.0,6900,2,,5,4,4,5,3,16,7,7,5,8,5,6,1940,1955,5,7,3,3,2.0,0.0,3,3,5,4.0,4.0,2.0,6.0,403,4.0,125,212,740,5,5,1,5.0,778,0,0,778,0,0,1,0,2,1,3,4,8,1,5.0,2.0,1966.0,4.0,1,924,6.0,6.0,3,0,25,0,0,0,0,,,,0,2,2008,10,6,120500
269,270,20,3,,7917,2,,4,4,4,4,3,18,7,7,5,8,6,7,1976,1976,3,7,11,11,4.0,174.0,3,4,5,4.0,5.0,2.0,5.0,751,2.0,0,392,1143,5,3,1,5.0,1113,0,0,1113,1,0,1,1,3,1,3,6,8,1,3.0,6.0,1987.0,3.0,1,504,4.0,5.0,3,370,30,0,0,0,0,,5.0,,0,5,2007,10,6,148000
270,271,60,6,84.0,10728,2,,5,4,4,5,3,4,7,7,5,5,8,5,2006,2006,5,7,3,3,2.0,0.0,4,3,4,5.0,4.0,3.0,2.0,0,2.0,0,1095,1095,5,4,1,5.0,1095,844,0,1939,0,0,2,1,3,1,4,8,8,1,5.0,6.0,2006.0,3.0,3,1053,4.0,4.0,3,192,51,0,0,0,0,,,,0,8,2006,7,1,266000
271,272,20,3,73.0,39104,2,,4,1,4,3,1,21,7,7,5,8,7,7,1954,2005,6,6,7,7,2.0,0.0,3,3,5,5.0,4.0,5.0,3.0,226,7.0,1063,96,1385,5,5,1,5.0,1363,0,0,1363,1,0,1,0,2,1,3,5,5,2,4.0,6.0,1954.0,2.0,2,439,4.0,4.0,3,81,0,0,0,0,0,,,,0,4,2008,10,6,241500
272,273,60,3,92.0,11764,2,,4,4,4,3,3,12,7,7,5,5,8,7,1999,2007,5,7,3,3,4.0,348.0,4,3,4,5.0,4.0,2.0,7.0,524,2.0,0,628,1152,5,5,1,5.0,1164,1106,0,2270,0,0,2,1,4,1,4,9,8,1,5.0,6.0,1999.0,4.0,3,671,4.0,4.0,3,132,57,0,0,0,0,,,,0,4,2010,10,6,290000
273,274,20,3,80.0,9600,2,,5,4,4,5,3,NAmes,8,7,5,8,6,6,1958,1988,3,7,2,2,5.0,183.0,3,3,5,4.0,4.0,2.0,4.0,620,3.0,620,0,1240,5,4,1,5.0,1632,0,0,1632,1,0,2,0,3,1,3,6,7,1,5.0,6.0,1958.0,3.0,1,338,4.0,4.0,3,289,0,0,0,0,0,,4.0,,0,4,2009,10,6,139000
274,275,20,3,76.0,8314,2,,5,4,4,4,3,14,7,7,5,8,5,7,1982,1982,5,7,11,10,2.0,0.0,3,3,5,4.0,4.0,5.0,6.0,546,2.0,0,270,816,5,3,1,5.0,816,0,0,816,0,0,1,0,2,1,3,5,8,0,,6.0,1982.0,2.0,1,264,4.0,4.0,3,168,0,0,0,0,0,,,,0,6,2007,10,6,124500
275,276,50,3,55.0,7264,2,,5,4,4,5,3,22,7,7,5,7,7,7,1925,2007,5,7,2,2,2.0,0.0,4,4,6,4.0,4.0,2.0,2.0,0,2.0,0,952,952,4,4,2,5.0,952,596,0,1548,0,0,2,1,3,1,5,5,8,0,,2.0,1978.0,2.0,2,672,4.0,4.0,3,74,0,0,0,144,0,,,,0,10,2009,10,6,205000
276,277,20,3,129.0,9196,2,,4,4,4,5,3,14,7,7,5,8,7,5,2003,2003,5,7,3,3,2.0,0.0,4,3,4,6.0,4.0,2.0,2.0,0,2.0,0,1560,1560,5,5,1,5.0,1560,0,0,1560,0,0,2,0,3,1,4,7,8,0,,6.0,2003.0,4.0,2,573,4.0,4.0,3,100,150,0,0,0,0,,,,0,4,2010,10,6,201000
277,278,20,3,140.0,19138,2,,5,4,4,4,3,17,7,7,5,8,4,5,1951,1951,5,7,3,3,2.0,0.0,3,3,5,4.0,4.0,2.0,3.0,120,2.0,0,744,864,5,5,1,5.0,864,0,0,864,0,0,1,0,2,1,3,4,8,0,,2.0,1951.0,2.0,2,400,4.0,4.0,3,0,0,0,0,0,0,,,,0,6,2010,10,6,141000
278,279,20,3,107.0,14450,2,,5,4,4,5,3,10,7,7,5,8,9,5,2006,2007,5,7,12,CmentBd,4.0,315.0,5,3,4,6.0,4.0,5.0,2.0,0,2.0,0,2121,2121,5,5,1,5.0,2121,0,0,2121,0,0,2,1,3,1,5,8,8,1,6.0,6.0,2007.0,4.0,3,732,4.0,4.0,3,124,98,0,0,142,0,,,,0,5,2007,7,1,415298
279,280,60,3,83.0,10005,2,,5,4,4,5,3,21,7,7,5,5,7,5,1977,1977,3,7,7,7,4.0,299.0,3,3,5,5.0,4.0,2.0,5.0,392,2.0,0,768,1160,5,5,1,5.0,1156,866,0,2022,0,0,2,1,4,1,3,8,8,1,4.0,6.0,1977.0,4.0,2,505,4.0,4.0,3,288,117,0,0,0,0,,,,0,3,2008,10,6,192000
280,281,60,3,82.0,11287,2,,5,4,4,5,3,5,7,7,5,5,7,6,1989,1989,5,7,7,7,4.0,340.0,4,3,5,5.0,4.0,4.0,7.0,421,2.0,0,386,807,5,4,1,5.0,1175,807,0,1982,0,0,2,1,3,1,4,7,8,1,4.0,6.0,1989.0,4.0,2,575,4.0,4.0,3,0,84,0,196,0,0,,,,0,1,2007,10,6,228500
281,282,20,6,60.0,7200,2,2.0,5,4,4,5,3,4,7,7,5,8,6,5,2006,2006,5,7,3,3,1.0,68.0,4,3,4,5.0,4.0,2.0,7.0,905,2.0,0,357,1262,5,4,1,5.0,1262,0,0,1262,0,0,2,0,2,1,4,5,8,0,,6.0,2006.0,4.0,2,572,4.0,4.0,3,0,120,0,0,0,0,,,,0,5,2006,7,1,185000
282,283,120,3,34.0,5063,2,,5,4,4,5,3,10,7,7,Twnhs,8,7,5,2007,2008,5,7,3,3,1.0,166.0,4,3,4,5.0,4.0,2.0,7.0,904,2.0,0,410,1314,5,5,1,5.0,1314,0,0,1314,1,0,2,0,2,1,4,6,8,1,5.0,6.0,2008.0,3.0,2,626,4.0,4.0,3,172,62,0,0,0,0,,,,0,4,2009,4,6,207500
283,284,20,3,74.0,9612,2,,5,4,4,5,3,4,8,7,5,8,8,5,2008,2009,5,7,3,3,1.0,72.0,4,3,4,5.0,4.0,2.0,2.0,0,2.0,0,1468,1468,5,5,1,5.0,1468,0,0,1468,0,0,2,0,3,1,4,6,8,1,5.0,6.0,2008.0,4.0,3,898,4.0,4.0,3,210,150,0,0,0,0,,,,0,12,2009,7,1,244600
284,285,120,3,50.0,8012,2,,5,4,4,5,3,5,7,7,2,8,6,5,1992,1992,5,7,7,10,2.0,0.0,4,3,4,5.0,4.0,2.0,7.0,430,2.0,0,1145,1575,5,4,1,5.0,1575,0,0,1575,1,0,2,0,2,1,4,5,8,0,,6.0,1992.0,3.0,2,529,4.0,4.0,3,0,0,52,0,0,0,,,,0,7,2007,10,6,179200
285,286,160,6,35.0,4251,2,2.0,4,4,4,5,3,4,7,7,2,5,7,5,2006,2007,5,7,9,9,2.0,0.0,4,3,4,5.0,4.0,2.0,2.0,0,2.0,0,625,625,5,5,1,5.0,625,625,0,1250,0,0,2,1,2,1,4,5,8,0,,2.0,2006.0,3.0,2,528,4.0,4.0,3,0,54,0,0,0,0,,,,0,6,2007,7,1,164700
286,287,50,3,77.0,9786,2,,4,3,4,5,3,NAmes,7,7,5,7,6,7,1962,1981,5,7,2,2,2.0,0.0,3,3,5,4.0,4.0,2.0,4.0,600,2.0,0,312,912,5,3,1,5.0,1085,649,0,1734,0,0,1,1,3,1,4,7,8,1,5.0,6.0,1962.0,3.0,2,440,4.0,4.0,3,0,0,0,0,128,0,,5.0,,0,6,2006,10,6,159000
287,288,20,3,,8125,2,,4,4,4,4,3,NAmes,7,7,5,8,4,4,1971,1971,5,7,11,11,2.0,0.0,3,3,5,4.0,4.0,2.0,5.0,614,2.0,0,244,858,5,3,1,5.0,858,0,0,858,0,0,1,0,3,1,3,5,8,0,,,,,0,0,,,3,0,0,0,0,0,0,,,,0,6,2006,10,6,88000
288,289,20,3,,9819,2,,4,4,4,5,3,6,7,7,5,8,5,5,1967,1967,5,7,9,9,4.0,31.0,3,4,5,4.0,4.0,2.0,5.0,450,2.0,0,432,882,5,3,1,5.0,900,0,0,900,0,0,1,0,3,1,3,5,8,0,,2.0,1970.0,2.0,1,280,4.0,4.0,3,0,0,0,0,0,0,,4.0,,0,2,2010,10,6,122000
289,290,70,3,60.0,8730,2,,5,4,4,5,3,22,5,7,5,5,6,7,1915,2003,5,7,2,2,2.0,0.0,3,3,6,4.0,4.0,2.0,2.0,0,2.0,0,698,698,5,5,1,4.0,698,698,0,1396,0,0,1,0,3,1,3,7,8,0,,2.0,2003.0,2.0,1,384,4.0,4.0,3,0,0,0,0,259,0,,,,0,7,2007,10,6,153575
290,291,60,3,120.0,15611,2,,5,4,4,5,3,20,7,7,5,5,8,5,2006,2006,5,7,3,3,2.0,0.0,4,3,4,5.0,4.0,4.0,2.0,0,2.0,0,1079,1079,5,5,1,5.0,1079,840,0,1919,0,0,2,1,3,1,4,8,8,1,5.0,6.0,2006.0,3.0,2,685,5.0,4.0,3,0,51,0,0,0,0,,,,0,7,2006,7,1,233230
291,292,190,3,55.0,5687,2,3.0,5,3,4,5,3,7,7,7,2fmCon,5,5,6,1912,2000,5,7,3,3,2.0,0.0,3,2,4,4.0,3.0,2.0,4.0,210,2.0,0,570,780,5,5,2,5.0,936,780,0,1716,1,0,2,0,6,1,2,9,8,0,,,,,0,0,,,1,0,184,0,0,0,0,,,,0,3,2008,10,6,135900
292,293,50,3,60.0,11409,2,,5,4,4,5,3,18,7,7,5,7,5,4,1949,2008,5,7,2,2,2.0,0.0,3,3,5,4.0,4.0,2.0,3.0,292,2.0,0,476,768,5,4,1,5.0,1148,568,0,1716,0,0,1,1,3,1,3,8,6,1,5.0,6.0,1949.0,2.0,1,281,4.0,4.0,3,0,0,0,0,160,0,,,,0,1,2009,10,6,131000
293,294,60,3,,16659,2,,4,4,4,4,3,9,3,7,5,5,7,7,1977,1994,5,7,7,7,4.0,34.0,3,3,5,4.0,4.0,2.0,6.0,795,2.0,0,0,795,5,2,1,5.0,1468,795,0,2263,1,0,2,1,3,1,4,9,8,1,4.0,6.0,1977.0,4.0,2,539,4.0,4.0,3,0,250,0,0,0,0,,,,0,3,2006,10,6,235000
294,295,20,3,80.0,9600,2,,5,4,4,5,3,NAmes,7,7,5,8,6,5,1953,1953,3,7,11,11,1.0,238.0,3,3,5,4.0,4.0,2.0,7.0,1285,2.0,0,131,1416,5,3,1,5.0,1644,0,0,1644,1,0,1,0,3,1,3,7,8,2,5.0,6.0,1953.0,4.0,2,418,4.0,4.0,3,110,0,0,0,0,0,,,,0,10,2009,10,6,167000
295,296,80,3,37.0,7937,2,,4,4,4,3,3,14,7,7,5,1,6,6,1984,1984,5,7,11,11,2.0,0.0,3,3,5,4.0,4.0,4.0,7.0,819,2.0,0,184,1003,5,3,1,5.0,1003,0,0,1003,1,0,1,0,3,1,3,6,8,0,,2.0,1984.0,2.0,2,588,4.0,4.0,3,120,0,0,0,0,0,,5.0,,0,3,2006,10,6,142500
296,297,50,1,75.0,13710,2,,5,4,4,5,3,16,7,7,5,7,5,5,1950,1950,5,7,2,2,2.0,0.0,3,3,5,4.0,4.0,2.0,5.0,420,2.0,0,490,910,5,3,1,4.0,910,648,0,1558,0,0,1,1,4,1,3,6,8,0,,6.0,1950.0,2.0,1,282,4.0,4.0,3,289,0,0,0,0,0,,4.0,,0,6,2007,10,6,152000
297,298,60,6,66.0,7399,2,2.0,4,4,4,5,3,4,7,7,5,5,7,5,1997,1998,3,7,3,3,4.0,1600.0,4,3,4,5.0,4.0,2.0,5.0,649,2.0,0,326,975,5,5,1,5.0,975,975,0,1950,0,0,2,1,3,1,4,7,8,1,4.0,2.0,1997.0,3.0,2,576,4.0,4.0,3,0,10,0,0,198,0,,,,0,6,2007,10,6,239000
298,299,60,3,90.0,11700,2,,5,4,4,5,3,9,7,7,5,5,6,6,1968,1968,2,7,11,16,4.0,365.0,4,3,5,4.0,4.0,2.0,6.0,384,4.0,175,143,702,5,4,1,5.0,1041,702,0,1743,0,1,1,2,3,1,3,7,8,1,5.0,6.0,1968.0,2.0,2,539,4.0,4.0,3,224,0,0,0,0,0,,,,0,6,2007,10,6,175000
299,300,20,3,80.0,14000,2,,5,4,4,5,3,19,7,7,5,8,6,8,1950,2004,5,7,11,11,2.0,0.0,3,4,5,4.0,4.0,2.0,2.0,0,2.0,0,1092,1092,5,5,1,5.0,1152,0,0,1152,0,1,1,0,3,1,4,6,8,1,5.0,6.0,1950.0,2.0,1,300,4.0,4.0,3,0,36,0,0,0,0,,5.0,,0,8,2009,10,2,158500
300,301,190,3,90.0,15750,2,,5,4,4,4,3,19,7,7,2fmCon,8,5,5,1953,1953,3,7,9,9,4.0,56.0,3,3,5,4.0,4.0,3.0,5.0,841,2.0,0,324,1165,5,3,1,5.0,1336,0,0,1336,1,0,1,0,2,1,3,5,8,2,5.0,6.0,1953.0,2.0,1,375,4.0,4.0,3,0,0,0,0,0,0,,,,0,6,2006,10,6,157000
301,302,60,3,66.0,16226,2,,2,4,4,5,3,20,7,7,5,5,8,5,1998,1999,5,7,3,3,2.0,0.0,4,3,4,5.0,4.0,2.0,7.0,281,2.0,0,747,1028,5,5,1,5.0,1210,1242,0,2452,0,0,2,1,4,1,4,9,8,1,4.0,4.0,1998.0,4.0,2,683,4.0,4.0,3,208,50,0,0,0,0,,,,0,5,2007,10,6,267000
302,303,20,3,118.0,13704,2,,4,4,4,4,3,20,7,7,5,8,7,5,2001,2002,5,7,3,3,4.0,150.0,4,3,4,5.0,4.0,2.0,2.0,0,2.0,0,1541,1541,5,5,1,5.0,1541,0,0,1541,0,0,2,0,3,1,4,6,8,1,4.0,6.0,2001.0,3.0,3,843,4.0,4.0,3,468,81,0,0,0,0,,,,0,1,2006,10,6,205000
303,304,20,3,70.0,9800,2,,5,4,4,4,3,20,7,7,5,8,5,7,1972,1972,5,7,3,3,2.0,0.0,3,3,4,4.0,4.0,2.0,6.0,894,2.0,0,0,894,5,3,1,5.0,894,0,0,894,1,0,1,0,3,1,3,5,8,0,,6.0,1975.0,2.0,2,552,4.0,4.0,3,256,0,0,0,0,0,,3.0,,0,7,2006,10,5,149900
304,305,75,1,87.0,18386,2,,5,4,4,5,3,8,7,7,5,4,7,9,1880,2002,5,7,12,CmentBd,2.0,0.0,3,3,6,4.0,4.0,2.0,2.0,0,2.0,0,1470,1470,5,5,1,5.0,1675,1818,0,3493,0,0,3,0,3,1,4,10,8,1,6.0,6.0,2003.0,2.0,3,870,4.0,4.0,3,302,0,0,0,0,0,,,,0,5,2008,10,6,295000
305,306,20,3,80.0,10386,2,,5,4,4,5,3,20,7,7,5,8,8,5,2004,2005,5,7,12,CmentBd,1.0,246.0,4,3,4,5.0,4.0,2.0,7.0,1464,2.0,0,536,2000,5,5,1,5.0,2000,0,0,2000,1,0,2,0,3,1,4,8,8,0,,6.0,2004.0,4.0,3,888,4.0,4.0,3,168,0,0,0,0,0,,,,0,7,2007,10,6,305900
306,307,60,3,116.0,13474,2,,5,4,4,5,3,5,8,7,5,5,7,5,1990,1991,5,7,11,7,4.0,246.0,4,3,5,5.0,4.0,2.0,6.0,700,2.0,0,0,700,5,4,1,5.0,1122,1121,0,2243,1,0,2,1,4,1,4,8,8,1,4.0,6.0,1990.0,3.0,3,746,4.0,4.0,3,127,44,224,0,0,0,,,,0,6,2007,10,6,225000
307,308,50,1,,7920,2,3.0,4,4,4,5,3,16,9,7,5,7,6,7,1920,1950,5,7,9,9,2.0,0.0,3,2,5,4.0,4.0,2.0,2.0,0,2.0,0,319,319,5,3,1,4.0,1035,371,0,1406,0,0,1,0,3,1,2,6,8,0,,,,,0,0,,,1,0,144,0,0,0,0,,4.0,,0,3,2008,10,6,89500
308,309,30,3,,12342,2,,4,4,4,5,3,18,7,7,5,8,4,5,1940,1950,5,7,3,3,2.0,0.0,3,3,5,4.0,4.0,2.0,5.0,262,2.0,0,599,861,5,5,1,5.0,861,0,0,861,0,0,1,0,1,1,3,4,8,0,,2.0,1961.0,2.0,2,539,4.0,4.0,3,158,0,0,0,0,0,,,,0,3,2009,10,6,82500
309,310,20,3,90.0,12378,2,,4,4,4,5,3,10,7,7,5,8,9,5,2003,2004,5,7,3,3,2.0,0.0,4,3,4,6.0,4.0,5.0,7.0,1274,2.0,0,622,1896,5,5,1,5.0,1944,0,0,1944,1,0,2,0,3,1,5,8,8,3,6.0,6.0,2003.0,4.0,3,708,4.0,4.0,3,208,175,0,0,0,0,,,,0,11,2006,10,6,360000
310,311,60,3,,7685,2,,4,4,4,5,3,17,7,7,5,5,6,5,1993,1994,5,7,11,11,4.0,112.0,3,3,4,5.0,4.0,2.0,6.0,518,2.0,0,179,697,5,4,1,5.0,697,804,0,1501,0,0,2,1,3,1,4,6,8,1,4.0,6.0,1993.0,4.0,2,420,4.0,4.0,3,190,63,0,0,0,0,,,,0,5,2006,10,6,165600
311,312,20,3,50.0,8000,2,,5,4,4,5,3,NAmes,7,7,5,8,6,6,1948,2002,5,7,3,3,2.0,0.0,3,4,5,4.0,4.0,2.0,6.0,680,2.0,0,292,972,5,5,1,5.0,972,0,0,972,1,0,1,0,2,1,3,5,8,1,5.0,2.0,1948.0,2.0,1,240,4.0,4.0,3,0,0,0,0,0,0,,,,0,5,2009,10,6,132000
312,313,190,1,65.0,7800,2,,5,4,4,5,3,8,9,7,2fmCon,7,5,7,1939,1950,5,7,9,9,2.0,0.0,3,3,5,5.0,4.0,3.0,4.0,507,2.0,0,286,793,5,3,1,5.0,793,325,0,1118,1,0,1,0,3,1,3,5,8,1,5.0,2.0,1939.0,2.0,2,410,4.0,4.0,3,0,0,0,0,271,0,,4.0,,0,5,2006,10,6,119900
313,314,20,3,150.0,215245,2,,2,1,4,5,1,2,7,7,5,8,7,5,1965,1965,3,7,14,14,2.0,0.0,3,3,5,5.0,4.0,5.0,6.0,1236,4.0,820,80,2136,4,3,1,5.0,2036,0,0,2036,2,0,2,0,3,1,3,8,8,2,5.0,6.0,1965.0,3.0,2,513,4.0,4.0,3,0,0,0,0,0,0,,,,0,6,2009,10,6,375000
314,315,70,1,60.0,9600,2,3.0,5,4,4,5,3,8,7,7,5,5,7,7,1925,1990,5,7,2,2,2.0,0.0,3,3,6,4.0,5.0,2.0,3.0,16,2.0,0,712,728,5,5,1,5.0,832,809,0,1641,0,1,1,1,3,1,5,6,8,1,5.0,2.0,1925.0,2.0,2,546,3.0,4.0,3,0,0,234,0,0,0,,,,0,8,2006,10,6,178000
315,316,60,3,71.0,7795,2,,4,4,4,5,3,17,7,7,5,5,7,5,2004,2005,5,7,3,3,2.0,0.0,4,3,4,5.0,4.0,2.0,7.0,425,2.0,0,291,716,5,5,1,5.0,716,716,0,1432,1,0,2,1,3,1,4,6,8,1,5.0,6.0,2004.0,4.0,2,432,4.0,4.0,3,100,51,0,0,0,0,,,,0,7,2009,10,6,188500
316,317,60,3,94.0,13005,2,,4,4,4,4,3,9,7,7,5,5,7,7,1980,1980,5,7,12,CmentBd,4.0,278.0,4,3,5,5.0,4.0,2.0,7.0,692,2.0,0,153,845,5,3,1,5.0,1153,1200,0,2353,1,0,2,1,4,1,5,10,8,1,4.0,6.0,1983.0,3.0,2,484,4.0,4.0,3,288,195,0,0,0,0,,5.0,,0,8,2009,10,6,260000
317,318,60,6,75.0,9000,2,,5,4,4,5,3,4,7,7,5,5,8,5,2006,2006,5,7,3,3,2.0,0.0,4,3,4,5.0,4.0,4.0,2.0,0,2.0,0,1088,1088,5,5,1,5.0,1088,871,0,1959,0,0,2,1,3,1,4,8,8,1,5.0,6.0,2006.0,3.0,3,1025,4.0,4.0,3,208,46,0,0,0,0,,,,0,12,2007,10,6,270000
318,319,60,3,90.0,9900,2,,5,1,4,5,2,12,7,7,5,5,7,5,1993,1993,5,7,11,11,4.0,256.0,4,3,4,5.0,4.0,5.0,7.0,987,2.0,0,360,1347,5,5,1,5.0,1372,1274,0,2646,1,0,2,1,4,1,4,9,8,1,4.0,6.0,1993.0,3.0,3,656,4.0,4.0,3,340,60,144,0,0,0,,,,0,4,2009,10,6,260000
319,320,80,3,,14115,2,,5,4,4,5,3,9,7,7,5,1,7,5,1980,1980,5,7,7,7,4.0,225.0,3,3,5,5.0,4.0,4.0,7.0,1036,2.0,0,336,1372,5,3,1,5.0,1472,0,0,1472,1,0,2,0,3,1,3,6,8,2,4.0,6.0,1980.0,2.0,2,588,4.0,4.0,3,233,48,0,0,0,0,,,,0,6,2009,10,6,187500
320,321,60,3,111.0,16259,2,,5,4,4,4,3,10,7,7,5,5,9,5,2006,2006,5,7,3,3,1.0,370.0,3,3,4,6.0,5.0,4.0,2.0,0,2.0,0,1249,1249,5,5,1,5.0,1249,1347,0,2596,0,0,3,1,4,1,4,9,8,0,,6.0,2006.0,3.0,3,840,4.0,4.0,3,240,154,0,0,0,0,,,,0,9,2006,7,1,342643
321,322,60,3,99.0,12099,2,,4,4,4,5,3,10,7,7,5,5,8,5,2004,2004,5,7,3,3,4.0,388.0,4,3,4,6.0,4.0,4.0,7.0,970,2.0,0,166,1136,5,5,1,5.0,1136,1332,0,2468,1,0,2,1,4,1,4,10,8,1,5.0,4.0,2004.0,4.0,3,872,4.0,4.0,3,184,154,0,0,0,0,,,,0,6,2007,10,6,354000
322,323,60,3,86.0,10380,2,,4,4,4,5,3,5,7,7,5,5,7,5,1986,1987,5,7,7,7,4.0,172.0,4,3,5,4.0,4.0,5.0,3.0,28,6.0,1474,0,1502,5,5,1,5.0,1553,1177,0,2730,1,0,2,1,4,1,4,8,8,1,4.0,6.0,1987.0,4.0,2,576,4.0,4.0,3,201,96,0,0,0,0,,4.0,,0,8,2007,10,6,301000
323,324,20,1,49.0,5820,2,,5,4,4,5,3,8,7,7,5,8,3,8,1955,2005,5,7,3,3,2.0,0.0,3,4,5,4.0,4.0,2.0,6.0,256,2.0,0,906,1162,5,5,1,5.0,1163,0,0,1163,1,0,1,0,3,1,3,6,8,0,,6.0,1955.0,2.0,1,220,3.0,4.0,3,142,98,0,0,0,0,,,,0,7,2006,10,6,126175
